body,country,farm,flavor,gram,name,per_1g,price,process,roast,url,variety,lat,lon
ウンベルトさん、ルシアさんご夫妻は、アグリカフェ社が進める小規模コーヒー生産者支援のプログラム、「ソル・デ・ラ・マニャーナ」に参加する生産者さんです。このプログラムは、小規模生産者たちにコーヒー栽培に関する知識を伝え、彼らが長期にわたって持続的に収益を得られるようにすることを目標としています。  奥様のルシアさんは20年以上にわたりコーヒー栽培に携わってきました。ご夫妻は、ルシアさんがお父様から引き継いだ土地を耕し、コーヒーを育てています。夫のウンベルトさんは、一家の収入を補うために、カラナビと首都ラ・パスを行き来するパートタイムのトラックの運転手としても働いておられましたが、プロジェクトに参加してからはご夫妻で農園でのコーヒー作りに力を入れています。平日は地元の学校に通っている子どもたちも、週末には両親の仕事を手伝います。農園の「デイマール」という名前は、ご夫妻の末っ子の名前から来ています。農園では、コーヒーの他にもアボカドやキャッサバ、現地でワルサと呼ばれるジャガイモなど、様々な作物を育てています。  「ソル・デ・ラ・マニャーナ」に参加し、栽培品種をレッドカトゥーラとイエローカトゥーラに転換すると、デイマール農園では収穫量が増えただけではなく、品質の面でも明らかな改善が見られました。「農園で働く上で私が一番楽しいと感じるのは、コーヒーが自分の労働が実を結んだ結果であるということです。年に1回の収穫だけれど、それだけの価値があります。」とルシアさんは話します。,ボリビア,デイマール,青りんご、アーモンドの風味。シロップの様な質感。 ,100,ウンベルト・ヴィルカ,9.88,988,ウォッシュト,中煎り,https://www.maruyamacoffee.com/ec/products/detail/670,カトゥーラ、カトゥアイ,-16.489689,-68.119294
※Agricafeの言うロング・セミ・アナエロビック・ファーメンテーション(半嫌気性発酵)：覆いを付けたセラミックのタンクで48～72時間発酵させる。タンクは完全には覆われていないため、半嫌気性と呼んでいます。  ボリビアでは元々、鉱山で働いていた人々が集団生活を営む「コロニー」というコミュニティ(村のようなもの)があり、こうしたコロニーの人々に土地が与えられてコーヒー栽培が伝わり、国内のコーヒー栽培が盛んになったと言われています。その多くは大変小規模で、家族単位で農園を営んでいます。  このような歴史的背景があり「管理や手入れをしてコーヒーを栽培する」というよりは「コーヒーの実がなったから収穫しに行こう」という感覚のもと、原生林の中で何もせずにコーヒー栽培をしている農家が多くあります。そのため、収穫量は落ち、生産性も悪化しています。さらに、現在ボリビアではコーヒー栽培からコカ栽培に転じる生産者が多く、国全体のコーヒー生産量が激減しています。そのことに危機感を覚えたペドロ・ロドリゲスさんは、自社農園の経営を始めました。  ラス・アラシータスは、ペドロさんが運営する複数のコーヒー農園の中で、ボリビアの優良生産地カラナビに3  番目に作られた農園です。カラナビで最も面積の広い農園でもあります。  この農園は、この地方に住む生産者たちがカラナビの町にやってくるときに使う通勤路のそばに位置しています。ペドロさんたちは、毎日ここを通る生産者たちへの一つの模範例としてこの農園を手がけ、大きな成功を収めました。たくさんの生産者たちがラス・アラシータス農園に関心を持ち、ペドロさんたちにアドバイスを求めにやって来たり、真似をして自分たちで同じような農園を作ろうとする人も現れました。国際的には、ラス・アラシータスは未来の農園の基本モデルとして認識されてきました。農園の頂上からは、各区画に植えられたコーヒーの木の模様が指紋のように見えます。,ボリビア,ラス・アラシータス,ジャスミン、ベルガモット、ラズベリー、ハチミツの風味。甘い余韻。華やかな味わい。 ,100,ﾍﾟﾄﾞﾛ･ﾛﾄﾞﾘｹﾞｽ ｹﾞｲｼｬ ｳｫｯｼｭﾄ ﾗｽ･ｱﾗｼｰﾀｽ,16.2,1620,ウォッシュト（半嫌気性発酵）,中煎り,https://www.maruyamacoffee.com/ec/products/detail/671,ゲイシャ,-16.489689,-68.119294
ムンブカ農園の歴史は、このサント・アントニオ・ド・アンパーロ地域の主要コーヒー農園であるカンポ・アレグレ農園の一部として19世紀に始まりました。現在ムンブカ農園がある場所には、かつてカンポ・アレグレ農園の生産処理施設や貯蔵倉庫がありました。これらの建物の一部は、現在も農園の敷地内に残っています。  マルセロさんによるムンブカ農園の運営は、スペシャルティコーヒーの生産を目的として2010年に始まりました。マルセロさん一家はソナ・ダ・マタと呼ばれる地域で長らくコーヒー生産に携わっていましたが、コーヒーへの愛情から、スペシャルティコーヒー栽培に適した地理的特徴を持つカンポ・ダス・ヴェルテンチスに位置するムンブカ農園でプロジェクトを立ち上げました。農園に最も適した栽培技術と栽培品種が定められ、現在、ムンブカ農園のコーヒーはすべて、この地域の恵まれた気候を活用し、ナチュラル製法で精製されています。,ブラジル,ムンブカ,,100,マルセロ・ルイス ナチュラル,9.88,988,ナチュラル/パティオで天日乾燥、機械乾燥,中煎り,https://www.maruyamacoffee.com/ec/products/detail/704,イエローブルボン,-15.794392,-47.882004
"ロヘールさんが営むラ・ベンディシオン農園は、優良コーヒー農園が多く存在することで知られているグアテマラ西部のウエウエテナンゴ地域にあります。  ロヘールさんは40歳まで学校の教師をされていました。その後コーヒービジネスに携わるようになり、最初はコヨーテと呼ばれるコーヒーチェリーの仲買人の仕事をして少しずつ土地を増やしてコーヒーの木を植えていきました。農園があるラ・リベルタッド地区には優良農園として大変有名なエル・インヘルト農園があり、ロヘールさんはそのエル・インヘルト農園のオーナーから土地を購入した際に、天の恵み、神様のご加護（＝ベンディシオン）を願い、農園にこの名前を付けました。同農園は中規模の農園で、朝日のあたる山の尾根にあり、雨量は年間1,300mm～1,400mmです。完璧な日光と雨量の組み合わせがチョコレートのような重さと華やかさのあるリッチなコーヒーを生み出しています。",グァテマラ,ラ・ベンディシオン,ダークチョコレート、アーモンドの風味。 ,100,ﾛﾍｰﾙ･ｴﾃﾞﾙﾌｫ ｻﾝﾄﾞﾗｲ 深煎り,7.34,734,ウォッシュト,深煎り,https://www.maruyamacoffee.com/ec/products/detail/706,カトゥーラ,14.634915,-90.506882
アレハンドロ・コンデソさんは、エクアドルと国境を接するペルー北西部のカハマルカ県のサン・イグナシオでラ・サンタ農園を営んでいます。彼は、この地域で高品質コーヒー作りに従事する生産者たちのリーダー的な存在です。  アレハンドロさんが育てている品種は、現地で「コスタリカ」と呼ばれているもので、背が高く、高い生産性とサビ病への耐性を持つのが特徴と言われています。収穫期になると、熟れたコーヒーチェリーだけが摘み取られ、収穫と同日に果肉が除去されます。タンクの中で28時間ほど発酵したコーヒー豆は、水でよく洗浄されたあとに低温で平均15日ほど乾燥させて仕上げられます。2019年、アレハンドロさんは地区のスペシャルティコーヒーのコンクールに参加し、80名の参加者中、6位の成績を残しました。,ペルー,ラ・サンタ,ビターキャラメル、ローストナッツの風味。クリーミーな質感。 ,100,アレハンドロ・コンデソ 深煎り,6.91,691,ウォッシュト/高床式乾燥ベッドで日陰乾燥,深煎り,https://www.maruyamacoffee.com/ec/products/detail/707,コスタリカ,-12.046373,-77.042754
現在オスカーさんが中心となって営むロス・ノガレス農園は、2005年に初めて開催されたコロンビアCOEで初代チャンピオンになった農園です。この時のオークションで同農園の優勝ロットを落札したことをきっかけに、丸山珈琲ではコロンビアのトップ・オブ・トップのコーヒーを買い付けるようになりました。  丸山珈琲にとって長いお付き合いのある大切な農園の一つですが、2013年に当時のオーナーでオスカーさんのお父様であるリカウルテさんが強盗に襲われて亡くなり、農園を継続するのか売却するか、何度も家族会議が行われました。現在はオスカーさん、お母様のスルデリーさん、オスカーさんの姉妹が農園を継ぎ、コーヒー生産を続けられています。  リカウルテさん亡き後、オスカーさんとスルデリーさんは高品質コーヒーの生産に今まで以上にフォーカスすることを決め、環境に与える影響が少ない水洗処理設備を新たに導入しました。オスカーさんたちはコーヒー作りにおいて日々向上を目指し、根気強く仕事に取り組んでいます。,コロンビア,ロス・ノガレス,,100,オスカー・エルナンデス,7.34,734,ウォッシュト,中煎り,https://www.maruyamacoffee.com/ec/products/detail/708,カトゥーラ、コロンビア,4.710989,-74.072092
レオナルドさん一家のコーヒー作りの歴史は、おじいさんのアプリジオさんの代に始まりました。レオナルドさんは、少年のころ、おじいさんに一家で経営している焙煎所に連れて行ってもらい、そこでコーヒーの仕事に触れるようになりました。  2019年現在、一家の営むモンテサント・タヴァレスグループは4つのコーヒー輸出会社を所有しています。レオナルドさんにとって農園の長としての2年目にあたる2018年、カップ・オブ・エクセレンス  ブラジル・パルプトナチュラルで見事優勝を果たしました。  プリマベーラ農園が位置するシャパーダ・デ・ミナス地域は、セラード（ブラジル中央部のサバンナ地域）と大西洋岸の森林の特徴が混ざり合った植生を持っており、豊かな生物多様性に恵まれています。農園の中には平らな台地の部分とゆるやかに起伏した丘の部分があり、その両方にコーヒーが植えられています。敷地を突っ切るように川が流れ、コーヒーと一緒に植えられたマホガニーの木がシェード（日陰）を生み出しています。気候や標高といった条件が同農園のコーヒーに特別な個性を与えていることも事実ですが、何よりも、注意深く行われる生産処理や乾燥作業、長い歴史と、経験豊富で調和のとれた従業員のチームの厳格な品質管理のおかげで、プリマベーラ農園のコーヒーは毎年高い品質を維持し続けています。モンテサント・タヴァレスグループは社会活動にも熱心で、地域住民や農園の従業員を対象に様々なワークショップや支援活動を行っています。,ブラジル,プリマベーラ,レーズン、イチジク、ストロベリー、チョコレートの風味。シロップの様な質感。 ,80,ﾚｵﾅﾙﾄﾞ･ﾓﾝﾃｻﾝﾄ 2019年ﾌﾞﾗｼﾞﾙCOE2位,31.05,2484,ナチュラル・アナエロビック,中煎り,https://www.maruyamacoffee.com/ec/products/detail/709,ゲイシャ,-15.794392,-47.882004
ボリビアではもともと、鉱山で働いていた人々が集団で「コロニー」と呼ばれるコミュニティ（村のようなもの）を作って生活していました。こういった人々にコーヒー栽培が伝わったことで、同国内のコーヒー栽培が盛んになりました。コロニーの多くは大変規模が小さく、住民たちは家族単位で農園を営んでいます。コパカバーナもこのようなコロニーの一つです。  この地域は人の手の入らないアマゾンの密林に覆われており、湿度が高いのが特徴です。ブエナ・ビスタ生産処理場のオーナーであるペドロ・ロドリゲスさんは、コパカバーナを含むカラナビ地域の複数のコロニーで「ソル・デ・ラ・マニャーナ（朝の太陽）」というプロジェクトを行っています。このプロジェクトの目標は、同地域の小規模生産者たちにコーヒー栽培に関する知識を継承し、彼らが長期にわたって持続的に収益を得られるようにすることです。このプロジェクト下で初となる2017年の収穫では大きな成果があり、さらに多くの生産者がプロジェクトに参加するようになりました。収穫時期になると、各コロニーからコーヒーチェリーを納めに来る車が生産処理場に列を作ります。小規模生産者の中には自家用車を持たない人も多く、タクシーでチェリーを運んでくる人もいます。,ボリビア,,ダークチョコレート、ダークチェリーの風味。 ,100,ソル・デ・ラ・マニャーナ 深煎り,6.91,691,ウォッシュト,深煎り,https://www.maruyamacoffee.com/ec/products/detail/710,カトゥーラ、カトゥアイ,-16.489689,-68.119294
ルイス・パウロ・フィーリョさんは、丸山珈琲がブラジルのコーヒーを買い付ける際に非常に重要で不可欠な方です。バイヤーの丸山は、ルイス・パウロさんと、お互いの抱える問題、品質についての意見を交換し合い、毎年コミュニケーションを重ね信頼関係を築いてきました。  ルイス・パウロさんは、サントゥアリオ・スル農園で、市場のトレンドの先を行くという目標から生まれたDivusProject（ディボス・プロジェクト）を立ち上げました。ブラジルの伝統的な品種（イエローブルボンなど）に加えて、様々なエキゾチック品種を栽培し、現在農園ではなんと28種類以上の品種が栽培されています。加えて、差別化された栽培技術や革新的なプロセスも行っています。同農園は、カルモ・デ・ミナスで最も伝統的な農園の1つであるイルマス・ペレイラ農園に隣接しています。サントゥアリオ・スルで生産されるコーヒーは非常に注意深く監視され、常にルイス・パウロさん自身が、これらのコーヒーの最初のサンプルをテイスティングします。世界中のさまざまな地域からコーヒーをブラジルに持ち込み、ブラジル産コーヒーの新しいプロファイルを作り出すことは容易ではありません。ここで育ったコーヒーは、ルイス・パウロさんと彼のパートナーたちの頑固さを反映しています。ルイス・パウロさんは「常に市場の最前線に立ち、より良い品質を提供することを目標としています。」と話しています。,ブラジル,サントゥアリオ・スル,アップル、オレンジ、レーズン、フローラルな風味。滑らかな口当たり。 ,200,ﾏﾙｹﾝの恩返し ﾙｲｽ･ﾊﾟｳﾛ･ﾌｨｰﾘｮ ｹﾞｲｼｬ,9.99,1998,ナチュラル/アフリカンベッドで乾燥,中煎り,https://www.maruyamacoffee.com/ec/products/detail/711,ゲイシャ,-15.794392,-47.882004
ラ・リンダ農園は、オーナーのペドロさんが「ブエナ・ビスタ・プロジェクト」を立ち上げた農園です。このプロジェクトでは、コーヒーの確実な供給と将来的なサステナビリティを目指し、地元の生産者の支援なども行われています。ここは、ペドロさんのアグリカフェ・グループが、生産者たちからの供給にすべてを頼るのではなく、自分たちの高品質コーヒーを生産する試みを行うことを決めた最初の場所です。  亜熱帯天候、肥沃な土地、森林に覆われた2つの山の間という特別なロケーションに恵まれ、ラ・リンダ農園はコーヒーづくりに理想的な場所です。  「すてきなもの、美しいもの」という意味のラ・リンダという名前は、この農園に植えられ、美しく育った最初のジャバ種の苗床に由来しています。また、オーナーのペドロさんがある朝この農園で朝食をとっていた時に、コーヒーを飲み、目の前に広がる景色を眺めて「なんて美しい景色だろう」という気持ちでいっぱいになったことにも由来しています。  ラ・リンダは、アグリカフェ・チームの夢を現実に変えるために重要な役割を果たした農園であり、彼らにとって特別な場所です。,ボリビア,ラ・リンダ,ストロベリー、パイナップル、黒糖、フローラルな風味。クリーミーな質感。 ,100,ﾍﾟﾄﾞﾛ･ﾛﾄﾞﾘｹﾞｽ ｼﾞｬﾊﾞ ﾅﾁｭﾗﾙ ﾗ ﾘﾝﾀﾞ,12.96,1296,ナチュラル,中煎り,https://www.maruyamacoffee.com/ec/products/detail/717,ジャバ,-16.489689,-68.119294
ウェイダガ・ウォッシングステーションは1970年代に設立されたコーヒーの生産処理場です。現在、同ウォッシングステーションはニュー・ウェイダガ農協に所属し、1人のマネージャと2人の常勤スタッフ、そして大勢の非常勤スタッフによって運営されています。  ウェイダガ・ウォッシングステーションは、コーヒー・マネージメント・サービス(CMS)社の援助を受けており、コーヒーの生産量を増加させることを長期目標としています。この目標に向かって、生産者に対するトレーニング、セミナー、情報やアドバイスへの提供など、さまざまな活動が実施されています。また、経済的な支援の一環として、事前資金の提供も行われており、生産者たちはこれを子ども達の学費や各自の農園への投資に充てることができます。  収穫されたコーヒーチェリーは、すぐにウェイダガ・ファクトリーに持ち込まれます。水洗式で処理されたコーヒーは乾燥用のベッドに広げられ、7日～15日ほどかけて乾かされます。,ケニア,,グレープ、カシス、マンダリンオレンジの風味。ジューシーな味わい。 ,100,ウェイダガ,9.88,988,ウォッシュト,中煎り,https://www.maruyamacoffee.com/ec/products/detail/720,SL,-1.292066,36.821946
"ブルンディのほとんどのコーヒー農家は大変小規模です。そのため、各生産者がコーヒーを「ウォッシングステーション」と呼ばれる生産処理場に持ち込み、一つのロットが作られます。  ブルンディでは2012年よりカップ・オブ・エクセレンスが行われており、ムバンガ・ウォッシングステーションは2014年に見事優勝を果たしました。以来、こちらのウォッシングステーションにコーヒーを持ち込む新規の生産者が増加しており、2019年時点で3,700以上の農家が登録されています。生産処理場の責任者がヒル＝丘と呼ばれる生産地区ごとに受け入れのタイムテーブルを決め、その時間に合わせて生産者たちが収穫したチェリーを納めます。そのため、さまざまなヒルの生産者が同じ時間にやって来て混乱することはないそうです。同じヒルの中でもさらに生産者コードがあり、納入されるコーヒーはしっかりと管理されています。  丸山珈琲では2011年よりムバンガ・ウォッシングステーションを中心にブルンディのコーヒーを継続的に買い付けており、政情不安のあった2015年も含め、バイヤーの丸山は2019年まで毎年ムバンガウォッシングステーションを訪問しています。",ブルンディ,,グレープ、黒糖の風味。クリーミーな質感。 ,100,ムバンガ ナチュラル,9.88,988,ナチュラル,中煎り,https://www.maruyamacoffee.com/ec/products/detail/721,ブルボン,0.0,0.0
